#f0 [Hz]	periodicity (0~1)	power [dB]	sonorant power [dB]	high freq. power [dB]	 mid freq. power [dB]	low freq power [dB]	f0 after post-proc. [Hz]	f0 reliability code (0 ~ 13)	a1-a3 [dB]	f1f3syn (-1.0~1.0)	h1-a1 [dB]	breathpow [dB]	ips (-1.0~1.0)	h1-a3 [dB]	f0 after post-proc [semitone]	delta f0 [semitone]	vocal fry detection
-10000	-10000	43.20	24.80	43.13	40.25	-7.31	-10000	1	-26.89	0.769	-19.13	-47.91	-100.00	-48.72	-10000	-10000	
130.08	0.298	48.52	29.41	48.47	45.47	-10000	-10000	0	-25.01	0.749	-15.78	-41.25	-100.00	-47.01	-10000	-10000	
118.52	0.310	43.86	28.71	43.72	38.61	-10000	-10000	0	-22.60	0.509	-9.58	-36.45	-100.00	-32.19	-10000	-10000	
-10000	-10000	43.65	34.98	43.02	39.64	28.35	-10000	0	-9.36	0.463	-11.96	-33.87	0.29	-21.32	-10000	-10000	
347.83	0.884	46.45	45.26	40.24	43.38	42.37	355.54	13	-0.25	0.754	-10000	-43.69	-100.00	-0.25	65.31	-10000	
355.56	0.953	49.68	48.14	44.41	46.99	45.69	355.54	13	1.59	0.762	-10000	-46.70	-100.00	1.59	65.31	-10000	
355.56	0.945	53.30	51.29	48.98	51.56	46.74	355.54	13	-3.70	0.707	-10000	-41.52	-100.00	-3.70	65.31	-10000	
355.56	0.922	55.25	52.95	51.41	53.13	47.60	355.54	13	-2.37	0.690	-3.09	-33.25	-100.00	-5.47	65.31	9.46	
363.64	0.930	55.83	52.03	53.49	52.94	49.05	363.43	13	-1.99	0.643	-5.43	-41.49	-100.00	-7.41	65.69	13.57	
363.64	0.950	56.56	53.19	53.88	53.35	51.10	363.43	13	-2.92	0.672	-6.85	-47.54	-100.00	-9.77	65.69	14.18	
372.09	0.947	56.39	53.82	52.89	51.82	52.35	363.43	13	1.36	0.655	-8.22	-38.59	-100.00	-6.86	65.69	12.68	
372.09	0.961	55.65	53.68	51.25	48.94	52.90	371.92	13	7.99	0.660	-10.12	-45.93	-100.00	-2.13	66.09	8.41	
372.09	0.962	55.59	53.79	50.89	47.15	53.45	371.92	13	11.46	0.634	-11.43	-44.22	-100.00	0.03	66.09	6.78	
372.09	0.974	55.73	54.17	50.53	46.92	53.88	371.92	13	10.02	0.641	-12.55	-83.74	-100.00	-2.53	66.09	4.17	
372.09	0.988	55.97	54.80	49.70	46.56	54.62	371.92	13	10.02	0.692	-13.59	-68.19	-100.00	-3.57	66.09	0.00	
372.09	0.985	55.90	54.86	49.15	46.44	54.71	371.92	13	9.93	0.671	-14.54	-80.35	-100.00	-4.60	66.09	0.00	
372.09	0.987	55.67	54.52	49.34	46.13	54.43	371.92	13	8.95	0.656	-15.20	-96.58	-100.00	-6.25	66.09	-3.61	
372.09	0.991	55.05	53.86	48.84	45.70	53.73	371.92	13	9.00	0.621	-15.67	-98.84	-100.00	-6.67	66.09	-9.53	
372.09	0.974	54.18	53.09	47.65	44.72	52.96	371.92	13	9.14	0.615	-16.03	-80.73	-100.00	-6.88	66.09	-17.02	
363.64	0.921	53.39	52.38	46.55	43.49	52.34	363.43	13	13.09	0.718	-15.84	-41.21	-100.00	-2.75	65.69	-25.19	
355.56	0.936	52.59	51.77	44.95	42.18	51.75	355.54	13	13.13	0.742	-17.32	-49.56	-100.00	-4.18	65.31	-35.30	
