#f0 [Hz]	periodicity (0~1)	power [dB]	sonorant power [dB]	high freq. power [dB]	 mid freq. power [dB]	low freq power [dB]	f0 after post-proc. [Hz]	f0 reliability code (0 ~ 13)	a1-a3 [dB]	f1f3syn (-1.0~1.0)	h1-a1 [dB]	breathpow [dB]	ips (-1.0~1.0)	h1-a3 [dB]	f0 after post-proc [semitone]	delta f0 [semitone]	vocal fry detection
-10000	-10000	28.77	25.08	26.26	26.19	-10000	-10000	0	-6.75	0.742	-10000	-53.27	-100.00	-6.75	-10000	-10000	
-10000	-10000	26.63	22.61	24.35	23.90	-10000	-10000	1	-10.73	0.470	1.64	-43.05	-100.00	-10.73	-10000	-10000	
50.00	0.904	25.78	21.31	23.79	22.79	10.00	-10000	1	-2.30	0.568	6.89	-47.72	-100.00	-2.30	-10000	-10000	
145.45	0.343	25.68	22.35	22.85	23.32	10.65	-10000	1	-3.44	0.609	9.09	-48.92	-100.00	-3.44	-10000	-10000	
50.00	0.863	24.96	21.29	22.44	22.92	-10000	-10000	1	-4.11	0.472	7.84	-44.10	-100.00	-4.11	-10000	-10000	
51.12	0.724	25.36	21.25	23.15	22.85	9.26	-10000	1	-5.49	0.424	6.39	-42.66	-100.00	-5.49	-10000	-10000	
50.00	0.828	26.39	21.16	24.78	23.94	-10000	-10000	1	-6.34	0.679	3.94	-51.72	-100.00	-7.70	-10000	-10000	
50.16	0.852	26.39	21.01	24.86	24.20	-10000	-10000	1	-7.30	0.608	6.88	-47.99	-100.00	-7.30	-10000	-10000	
49.69	0.822	25.77	21.07	23.88	23.70	-10000	-10000	1	-4.77	0.544	7.46	-45.87	-100.00	-4.77	-10000	-10000	
49.84	0.819	26.05	22.46	23.52	23.37	11.23	-10000	1	-0.95	0.621	7.73	-49.41	-100.00	-0.95	-10000	-10000	
50.63	0.706	25.39	21.23	23.19	22.50	11.15	-10000	1	-2.44	0.562	8.04	-47.77	-100.00	-2.44	-10000	-10000	
51.12	0.820	24.07	19.98	21.81	21.60	-10000	-10000	1	-1.89	0.526	4.89	-47.29	-100.00	-1.89	-10000	-10000	
